COMID,RiverStation,XSID,ProfileM
5781313,19539,18548,54.07386475
5781313,19435,18549,53.73091572
5781313,19414,18550,53.66900661
5781313,19308,18551,53.36008828
5781313,19150,18552,52.92689256
5781313,19139,18553,52.89423509
5781313,19136,18554,52.88303433
5781313,19085,18555,52.7322817
5781313,18909,18556,52.30501988
5781313,18798,18557,51.94418847
5781313,18764,18558,51.83740264
5781313,18686,18559,51.70945155
5781313,18620,18560,51.57489598
5781313,18612,18561,51.54935819
5781313,18585,18562,51.47590475
5781313,18556,18563,51.39819897
5781313,18540,18564,51.3545722
5781313,18455,18565,51.0685875
5781313,18275,18566,50.57590321
5781313,18083,18567,50.06951943
5781313,17920,18568,49.55780893
5781313,17816,18569,49.23434882
5781313,17792,18570,49.13620774
5781313,17691,18571,48.85895254
5781313,17616,18572,48.64533148
5781313,17498,18573,48.30957445
5781313,17442,18574,48.13995173
5781313,17317,18575,47.97533994
5781313,17101,18576,47.47210806
5781313,16926,18577,46.90462096
5781313,16843,18578,46.67739783
5781313,16718,18579,46.34335236
5781313,16594,18580,45.9643254
5781313,16465,18581,45.57645317
5781313,16318,18582,45.14088029
5781313,16227,18583,44.85923821
5781313,16164,18584,44.67379895
5781313,16089,18585,44.45477268
5781313,15892,18586,43.92179746
5781313,15825,18587,43.69302676
5781313,15812,18588,43.65363499
5781313,15732,18589,43.42414992
5781313,15415,18590,42.45814286
5781313,15325,18591,42.19192646
5781313,15271,18592,42.00676766
5781313,15221,18593,41.85489606
5781313,15175,18594,41.74648655
5781313,15085,18595,41.47159358
5781313,14972,18596,41.12788973
5781313,14875,18597,40.83260778
5781313,14861,18598,40.78889594
5781313,14779,18599,40.51361622
5781313,14699,18600,40.26222042
5781313,14468,18601,39.71434675
5781313,14325,18602,39.30135664
5781313,14237,18603,39.05684061
5781313,14213,18604,38.98145144
5781313,14191,18605,38.91425048
5781313,14132,18606,38.71279505
5781313,14014,18607,38.49271874
5781313,13891,18608,38.12499886
5781313,13815,18609,37.86821704
5781313,13684,18610,37.60868125
5781313,13600,18611,37.42632955
5781313,13519,18612,37.22837607
5781313,13417,18613,36.89217438
5781313,13145,18614,35.98506555
5781313,13099,18615,35.83182146
5781313,13055,18616,35.68968808
5781313,13041,18617,35.6404765
5781313,12944,18618,35.52492708
5781313,12849,18619,35.23274245
5781313,12743,18620,34.90350753
5781313,12520,18621,34.145858
5781313,12437,18622,33.91414351
5781313,12368,18623,33.70960942
5781313,12290,18624,33.46139489
5781313,12128,18625,32.86461439
5781313,11942,18626,32.46982507
5781313,11899,18627,32.32781319
5781313,11876,18628,32.24539536
5781313,11853,18629,32.16810053
5781313,11795,18630,31.96597542
5781313,11779,18631,31.91753936
5781313,11675,18632,31.60979196
5781313,11611,18633,31.44682539
5781313,11476,18634,31.13802117
5781313,11381,18635,30.92554579
5781313,11220,18636,30.51238861
5781313,11082,18637,30.04185875
5781313,10965,18638,29.67577167
5781313,10870,18639,29.38246329
5781313,10840,18640,29.27760711
5781313,10826,18641,29.24796683
5781313,10722,18642,28.99777031
5781313,10628,18643,28.64709362
5781313,10448,18644,28.09852963
5781313,10087,18645,27.16283365
5781313,9873,18646,26.62774506
5781313,9727,18647,26.26579442
5781313,9633,18648,25.97607249
5781313,9611,18649,25.90219759
5781313,9568,18650,25.74607838
5781313,9397,18651,25.59001283
5781313,9304,18652,25.29075726
5781313,9270,18653,25.09304952
5781313,9242,18654,24.95499138
5781313,9160,18655,24.69675138
5781313,9086,18656,24.51118579
5781313,9017,18657,24.36647587
5781313,8956,18658,24.18226302
5781313,8868,18659,23.94181928
5781313,8799,18660,23.72339678
5781313,8725,18661,23.49031513
5781313,8628,18662,23.23047115
5781313,8527,18663,22.98574291
5781313,8426,18664,22.86545831
5781313,8346,18665,22.78456486
5781313,8283,18666,22.61258298
5781313,8200,18667,22.34351681
5781313,8123,18668,22.10467736
5781313,8022,18669,21.82266954
5781313,7952,18670,21.6260323
5781313,7885,18671,21.42097072
5781313,7808,18672,21.16838588
5781313,7653,18673,20.73621397
5781313,7581,18674,20.5216569
5781313,7500,18675,20.28086786
5781313,7415,18676,20.02609585
5781313,7281,18677,19.73139461
5781313,7131,18678,19.37687548
5781313,7068,18679,19.21216347
5781313,7036,18680,19.1237593
5781313,7005,18681,19.04150528
5781313,6939,18682,18.85539853
5781313,6869,18683,18.59256201
